"iso3c","year","gini_disp","gini_mkt","gini_disp_se","gini_mkt_se"
"SYC",2011,42.9,45.5,3.7,3.5
"SYC",2012,42.9,45.5,3.7,3.7
"SYC",2013,42.9,45.5,3.8,3.7
"SYR",1997,35.7,37.8,2.8,2.8
"SYR",1998,35.8,37.9,2.8,2.8
"SYR",1999,35.8,38,2.7,2.8
"SYR",2000,35.9,38.2,2.8,2.7
"SYR",2001,36,38.3,2.7,2.7
"SYR",2002,36.1,38.4,2.7,2.7
"SYR",2003,36.2,38.6,2.6,2.7
"SYR",2004,36.3,38.7,2.6,2.6
"SYR",2005,36.3,38.7,2.7,2.7
"SYR",2006,36.3,38.6,2.7,2.9
"SYR",2007,36.3,38.6,2.7,2.9
"TCA",1999,39.9,40.1,5.6,6.3
"TCD",2003,42.1,44.4,2.9,3
"TCD",2004,42.2,44.5,2.9,3
"TCD",2005,42.3,44.6,3,3
"TCD",2006,42.4,44.7,2.9,3.1
"TCD",2007,42.5,44.9,3,3
"TCD",2008,42.6,45,3,3.1
"TCD",2009,42.6,45.1,3.1,3.2
"TCD",2010,42.7,45.3,3.2,3.2
"TCD",2011,42.8,45.4,3.1,3.1
"TGO",2005,42.8,45.3,2.6,2.9
"TGO",2006,43,45.5,2.6,2.7
"TGO",2007,43.2,45.7,2.6,2.7
"TGO",2008,43.3,45.9,2.6,2.8
"TGO",2009,43.5,46.2,2.6,2.8
"TGO",2010,43.7,46.3,2.6,2.8
"TGO",2011,43.8,46.5,2.6,2.8
"TGO",2012,43.8,46.5,2.7,2.8
"TGO",2013,43.9,46.5,2.7,2.9
"TGO",2014,43.9,46.5,2.7,2.9
"TGO",2015,43.9,46.6,2.7,3
"THA",1986,44.4,48.1,1.7,1.8
"THA",1987,44.5,48.1,1.6,1.8
"THA",1988,44.6,48.2,1.5,1.8
"THA",1989,44.7,48.3,1.5,1.7
"THA",1990,44.8,48.4,1.4,1.6
"THA",1991,44.8,48.5,1.4,1.6
"THA",1992,44.8,48.5,1.4,1.6
"THA",1993,44.7,48.4,1.4,1.6
"THA",1994,44.6,48.3,1.4,1.5
"THA",1995,44.5,48.1,1.4,1.5
"THA",1996,44.4,48,1.4,1.5
"THA",1997,44.3,47.9,1.4,1.5
"THA",1998,44.2,47.7,1.2,1.4
"THA",1999,44.1,47.7,1.3,1.4
"THA",2000,43.9,47.6,1.2,1.4
"THA",2001,43.7,47.3,1.3,1.4
"THA",2002,43.5,47.1,1.3,1.3
"THA",2003,43.3,46.9,1.3,1.4
"THA",2004,43.1,46.7,1.3,1.4
"THA",2005,42.9,46.5,1.3,1.4
"THA",2006,42.7,46.2,1.2,1.4
"THA",2007,42.4,45.8,1.2,1.3
"THA",2008,42.1,45.4,1.2,1.3
"THA",2009,41.7,45,1.2,1.3
"THA",2010,41.3,44.5,1.2,1.4
"THA",2011,41,44,1.2,1.3
"THA",2012,40.7,43.6,1.3,1.3
"THA",2013,40.4,43.2,1.3,1.3
"THA",2014,40.1,42.9,1.4,1.4
"THA",2015,39.9,42.6,1.4,1.5
"THA",2016,39.8,42.4,1.5,1.6
"THA",2017,39.7,42.3,1.6,1.8
"THA",2018,39.7,42.3,1.8,1.9
"TJK",1988,36.4,37.8,2.5,2.9
"TJK",1989,36.5,37.8,2.4,2.8
"TJK",1990,36.9,37.9,2.4,2.7
"TJK",1991,37.4,38,2.4,2.7
"TJK",1992,37.9,38.1,2.4,2.7
"TJK",1993,38.3,38.2,2.4,2.7
"TJK",1994,38.8,38.3,2.4,2.6
"TJK",1995,39.3,38.4,2.4,2.5
"TJK",1996,39.8,38.5,2.3,2.5
"TJK",1997,40.3,38.6,2.2,2.4
"TJK",1998,40.8,38.8,2.2,2.3
"TJK",1999,41.2,38.9,2.1,2.3
"TJK",2000,41.6,38.8,2.1,2.3
"TJK",2001,42,38.8,2.1,2.2
"TJK",2002,42.5,38.8,2.1,2.3
"TJK",2003,42.9,38.8,2.1,2.2
"TJK",2004,43,38.7,2.1,2.2
"TJK",2005,43.1,38.6,2.1,2.3
"TJK",2006,43.2,38.6,2.3,2.3
"TJK",2007,43.3,38.5,2.3,2.4
"TJK",2008,43.3,38.4,2.4,2.5
"TJK",2009,43.3,38.3,2.4,2.5
"TJK",2010,43.3,38.3,2.5,2.7
"TJK",2011,43.4,38.3,2.5,2.7
"TJK",2012,43.4,38.2,2.6,2.9
"TJK",2013,43.5,38.3,2.7,3
"TJK",2014,43.6,38.3,2.8,3.1
"TJK",2015,43.7,38.3,2.9,3.3
"TKM",1988,30.3,37.8,2.3,2.8
"TKM",1989,30.4,38,2.3,2.7
"TKM",1990,30.5,38.2,2.4,2.7
"TKM",1991,30.7,38.6,2.4,2.8
"TKM",1992,30.9,38.8,2.4,2.7
"TKM",1993,31.1,39.1,2.4,2.8
"TKM",1994,31.2,39.4,2.5,2.9
"TKM",1995,31.4,39.6,2.6,3
"TKM",1996,31.5,39.8,2.6,3.1
"TKM",1997,31.7,40.1,2.8,3.1
"TKM",1998,31.8,40.3,2.7,3.1
"TKM",1999,31.9,40.4,2.7,3.2
"TKM",2000,32,40.5,2.9,3.3
"TKM",2001,32.1,40.6,3,3.4
"TKM",2002,32.1,40.7,3,3.5
"TKM",2003,32.2,40.8,3.1,3.5
"TKM",2004,32.3,40.9,3.3,3.7
"TKM",2005,32.4,41,3.3,3.8
"TLS",2001,34.4,36.6,2.8,3
"TLS",2002,34.3,36.4,2.9,3
"TLS",2003,34.1,36.2,2.9,3
"TLS",2004,33.9,36,2.9,2.9
"TLS",2005,33.8,35.7,2.9,3
"TLS",2006,33.6,35.5,3,2.9
"TLS",2007,33.5,35.3,2.9,2.9
"TLS",2008,33.4,35.2,2.9,2.9
"TLS",2009,33.3,35.2,3,3.1
"TLS",2010,33.2,35.1,3.1,3.1
"TLS",2011,33.2,35.1,3.1,3.1
"TLS",2012,33.2,35,3.2,3.1
"TLS",2013,33.1,34.9,3.3,3.2
"TLS",2014,33,34.8,3.3,3.2
"TON",1986,36.2,40.3,2.7,3.4
"TON",1987,36.3,40.4,2.7,3.3
"TON",1988,36.3,40.4,2.8,3.3
"TON",1989,36.3,40.5,2.8,3.4
"TON",1990,36.3,40.6,2.7,3.4
"TON",1991,36.4,40.7,2.7,3.4
"TON",1992,36.4,40.8,2.5,3.2
"TON",1993,36.5,40.9,2.6,3.2
"TON",1994,36.6,40.9,2.6,3.1
"TON",1995,36.7,41,2.6,3.1
"TON",1996,36.7,41.1,2.5,3
"TON",1997,36.8,41.2,2.4,2.9
"TON",1998,36.9,41.2,2.4,2.9
"TON",1999,37,41.3,2.4,2.8
"TON",2000,37.1,41.3,2.4,2.8
"TON",2001,37.2,41.4,2.3,2.7
"TON",2002,37.3,41.5,2.3,2.8
"TON",2003,37.4,41.6,2.4,2.8
"TON",2004,37.5,41.7,2.5,2.8
"TON",2005,37.6,41.7,2.5,2.9
"TON",2006,37.6,41.7,2.6,2.9
"TON",2007,37.7,41.7,2.6,2.9
"TON",2008,37.7,41.7,2.7,3
"TON",2009,37.8,41.7,2.7,3
"TON",2010,37.8,41.7,2.8,3
"TON",2011,37.7,41.7,2.9,3.1
"TON",2012,37.7,41.7,2.9,3.2
"TON",2013,37.7,41.7,3,3.3
"TON",2014,37.7,41.7,3.1,3.4
"TON",2015,37.7,41.7,3.2,3.4
"TTO",1986,41.4,44.2,2.8,3.5
"TTO",1987,41.4,44.2,2.8,3.5
"TTO",1988,41.4,44.1,2.6,3.4
"TTO",1989,41.5,44.1,2.7,3.4
"TTO",1990,41.5,44.1,2.6,3.4
"TTO",1991,41.5,44.2,2.6,3.4
"TTO",1992,41.5,44.1,2.6,3.4
"TTO",1993,41.6,44.2,2.6,3.4
"TTO",1994,41.6,44.2,2.7,3.5
"TTO",1995,41.6,44.2,2.8,3.5
"TTO",1996,41.6,44.2,2.7,3.6
"TTO",1997,41.6,44.2,2.8,3.5
"TTO",1998,41.7,44.2,2.8,3.6
"TTO",1999,41.7,44.1,2.9,3.8
"TTO",2000,41.7,44.1,3,3.7
"TTO",2001,41.7,44.1,3,3.8
"TTO",2002,41.7,44.1,3,3.7
"TTO",2003,41.7,44.1,3.1,3.8
"TTO",2004,41.7,44.1,3.1,3.8
"TTO",2005,41.7,44,3.1,3.8
"TUN",1986,41.8,44.3,2.5,2.8
"TUN",1987,41.7,44.2,2.5,2.7
"TUN",1988,41.7,44.2,2.5,2.7
"TUN",1989,41.6,44.1,2.5,2.6
"TUN",1990,41.5,44.1,2.4,2.5
"TUN",1991,41.5,44,2.4,2.6
"TUN",1992,41.4,44,2.5,2.6
"TUN",1993,41.3,43.9,2.4,2.5
"TUN",1994,41.3,43.9,2.4,2.5
"TUN",1995,41.2,43.8,2.4,2.5
"TUN",1996,41.1,43.7,2.3,2.6
"TUN",1997,41,43.6,2.3,2.5
"TUN",1998,41,43.5,2.2,2.5
"TUN",1999,40.9,43.4,2.2,2.5
"TUN",2000,40.8,43.2,2.1,2.4
"TUN",2001,40.7,43.1,2.2,2.4
"TUN",2002,40.6,43,2.2,2.3
"TUN",2003,40.5,42.9,2.1,2.4
"TUN",2004,40.4,42.7,2.1,2.3
"TUN",2005,40.3,42.6,2,2.2
"TUN",2006,40.2,42.4,2.1,2.3
"TUN",2007,40,42.2,2.1,2.3
"TUN",2008,39.8,42,2.1,2.3
"TUN",2009,39.6,41.9,2.1,2.2
"TUN",2010,39.5,41.7,2.1,2.2
"TUN",2011,39.3,41.5,2.2,2.3
"TUN",2012,39.2,41.3,2.3,2.4
"TUN",2013,39.1,41.1,2.4,2.5
"TUN",2014,39,41,2.5,2.7
"TUN",2015,38.9,40.9,2.6,2.7
"TUR",1987,42.5,44.6,2.1,2.5
"TUR",1988,42.6,44.7,2.1,2.6
"TUR",1989,42.7,44.8,2.1,2.5
"TUR",1990,42.9,44.9,2.1,2.5
"TUR",1991,43,45.1,2,2.4
"TUR",1992,43.1,45.1,2,2.4
"TUR",1993,43.2,45.2,2,2.4
"TUR",1994,43.3,45.3,2,2.3
"TUR",1995,43.2,45.2,2,2.3
"TUR",1996,43.1,45.2,2,2.3
"TUR",1997,43,45.1,1.9,2.2
"TUR",1998,42.9,45,1.9,2.1
"TUR",1999,42.8,45,1.9,2.1
"TUR",2000,42.6,44.9,1.8,1.9
"TUR",2001,42.5,44.8,1.8,1.9
"TUR",2002,42.4,44.7,1.7,1.8
"TUR",2003,42.3,44.7,1.6,1.7
"TUR",2004,42.2,44.6,1.5,1.6
"TUR",2005,41.9,44.4,1.4,1.6
"TUR",2006,41.6,44.3,1.3,1.5
"TUR",2007,41.2,44.1,1.2,1.5
"TUR",2008,41,43.9,1.2,1.5
"TUR",2009,40.8,43.8,1.2,1.5
"TUR",2010,40.6,43.7,1.1,1.5
"TUR",2011,40.4,43.6,1.1,1.5
"TUR",2012,40.2,43.5,1.1,1.5
"TUR",2013,40.1,43.5,1.1,1.4
"TUR",2014,40.2,43.5,1.2,1.5
"TUR",2015,40.3,43.7,1.2,1.6
"TUR",2016,40.4,43.8,1.3,1.7
"TUR",2017,40.5,43.8,1.4,1.8
"TUR",2018,40.5,43.8,1.5,2
"TUV",1994,41.1,43.6,3.8,4.2
"TUV",1995,41.1,43.6,3.8,4.1
"TUV",1996,41,43.6,3.8,4.1
"TUV",1997,41,43.5,3.9,4.1
"TUV",1998,41,43.4,3.8,4.1
"TUV",1999,41,43.4,3.8,4
"TUV",2000,40.9,43.3,3.8,4.1
"TUV",2001,40.9,43.3,3.9,4
"TUV",2002,40.8,43.2,3.9,3.9
"TUV",2003,40.7,43.2,3.8,3.9
"TUV",2004,40.7,43.1,3.8,3.9
"TUV",2005,40.7,43.1,3.7,3.9
"TUV",2006,40.7,43.1,3.8,4
"TUV",2007,40.7,43.1,3.9,4.1
"TUV",2008,40.7,43.1,3.9,4.1
"TUV",2009,40.7,43.1,3.9,4.2
"TUV",2010,40.7,43.1,3.9,4.2
"TWN",1986,27,27.9,0.4,0.5
"TWN",1987,27.4,28.6,0.7,0.7
"TWN",1988,27.6,29,0.7,0.8
"TWN",1989,27.7,29.2,0.7,0.8
"TWN",1990,27.7,29.2,0.6,0.7
"TWN",1991,27.4,28.7,0.4,0.6
"TWN",1992,28,29.5,0.7,0.7
"TWN",1993,28.4,30.1,0.7,0.8
"TWN",1994,28.6,30.4,0.7,0.7
"TWN",1995,28.9,30.9,0.5,0.5
"TWN",1996,28.8,30.5,0.6,0.7
"TWN",1997,28.8,30.2,0.5,0.5
"TWN",1998,28.9,30.4,0.7,0.8
"TWN",1999,29.1,30.6,0.7,0.7
"TWN",2000,29.2,30.9,0.5,0.6
"TWN",2001,30,31.7,0.7,0.8
"TWN",2002,30.3,32.1,0.7,0.8
"TWN",2003,30.3,32.1,0.7,0.8
"TWN",2004,30.3,32.1,0.7,0.8
"TWN",2005,30.4,32.2,0.6,0.6
"TWN",2006,30.4,32.2,0.7,0.7
"TWN",2007,30.5,32.5,0.5,0.6
"TWN",2008,30.5,32.3,0.7,0.8
"TWN",2009,30.7,32.4,0.7,0.8
"TWN",2010,31,32.5,0.6,0.6
"TWN",2011,30.6,32.2,0.7,0.8
"TWN",2012,30.3,32.2,0.6,0.7
"TWN",2013,30.4,32.6,0.5,0.6
"TWN",2014,29.9,31.9,0.7,0.7
"TWN",2015,29.7,31.9,0.7,0.7
"TWN",2016,29.8,32.5,0.5,0.6
"TWN",2017,29.3,31.5,0.8,0.8
"TWN",2018,29,31,0.9,1.1
"TZA",1986,40.5,38.4,2.4,2.6
"TZA",1987,40.7,38.5,2.4,2.6
"TZA",1988,40.8,38.6,2.3,2.5
"TZA",1989,41,38.7,2.3,2.5
"TZA",1990,41.1,38.7,2.2,2.4
"TZA",1991,41.3,38.8,2.1,2.4
"TZA",1992,41.4,38.9,2.1,2.3
"TZA",1993,41.6,39.1,2.1,2.3
"TZA",1994,41.8,39.2,2.2,2.3
"TZA",1995,42,39.3,2.2,2.3
"TZA",1996,42.2,39.4,2.2,2.3
"TZA",1997,42.3,39.5,2.2,2.3
"TZA",1998,42.4,39.6,2.1,2.2
"TZA",1999,42.6,39.7,2.1,2.1
"TZA",2000,42.7,39.9,2.1,2.1
"TZA",2001,42.9,40,2,2.2
"TZA",2002,43,40.1,2,2.2
"TZA",2003,43.2,40.3,2,2.2
"TZA",2004,43.4,40.4,2.1,2.2
"TZA",2005,43.5,40.6,2,2.1
"TZA",2006,43.7,40.7,2,2.1
"TZA",2007,43.8,40.8,1.9,2
"TZA",2008,43.9,40.9,1.9,2
"TZA",2009,43.9,40.9,2,2
"TZA",2010,44,40.9,2,2
"TZA",2011,44.1,40.9,1.9,1.9
"TZA",2012,44.1,40.9,1.9,1.9
"TZA",2013,44.2,41,2,2.1
"TZA",2014,44.3,41.1,2.1,2.2
"TZA",2015,44.4,41.1,2.2,2.3
"TZA",2016,44.4,41.2,2.4,2.4
"TZA",2017,44.5,41.3,2.5,2.5
"UGA",1989,43.1,45.4,2.6,2.8
"UGA",1990,43.1,45.4,2.5,2.7
"UGA",1991,43.2,45.5,2.4,2.6
"UGA",1992,43.2,45.5,2.3,2.4
"UGA",1993,43.2,45.5,2.2,2.4
"UGA",1994,43.2,45.6,2.2,2.4
"UGA",1995,43.3,45.6,2.2,2.3
"UGA",1996,43.4,45.7,2.1,2.1
"UGA",1997,43.5,45.8,2,2.1
"UGA",1998,43.6,45.9,1.9,2
"UGA",1999,43.8,46.2,1.9,2
"UGA",2000,44,46.4,1.9,1.9
"UGA",2001,44.2,46.6,1.8,1.9
"UGA",2002,44.4,46.9,1.7,1.8
"UGA",2003,44.4,47,1.8,1.8
"UGA",2004,44.5,47.1,1.7,1.8
"UGA",2005,44.5,47.1,1.8,1.9
"UGA",2006,44.5,47.1,1.8,1.9
"UGA",2007,44.5,47.1,1.9,1.9
"UGA",2008,44.5,47.1,1.8,1.9
"UGA",2009,44.5,47.1,1.8,1.9
"UGA",2010,44.4,46.9,1.9,2
"UGA",2011,44.2,46.8,2,2
"UGA",2012,44.1,46.7,2,2
"UGA",2013,44.1,46.7,2,2.1
"UGA",2014,44.1,46.7,2.2,2.3
"UGA",2015,44.1,46.7,2.3,2.4
"UGA",2016,44.1,46.7,2.4,2.5
"UKR",1986,26.1,24.2,1.8,2.3
"UKR",1987,25.9,24,1.6,2.3
"UKR",1988,25.7,23.7,1.5,2.1
"UKR",1989,25.6,23.6,1.4,2
"UKR",1990,25.9,23.6,1.4,2
"UKR",1991,26.3,23.7,1.4,2
"UKR",1992,27.1,24,1.4,2
"UKR",1993,28,24.4,1.5,2
"UKR",1994,28.9,24.8,1.5,2.1
"UKR",1995,29.8,25.1,1.4,2
"UKR",1996,29.9,25.1,1.4,2
"UKR",1997,29.8,25,1.4,2.1
"UKR",1998,29.8,24.9,1.4,2
"UKR",1999,29.7,24.8,1.4,2
"UKR",2000,29.7,24.7,1.4,2.1
"UKR",2001,29.5,24.5,1.4,2.2
"UKR",2002,29.3,24.2,1.4,2.1
"UKR",2003,29.1,24,1.4,2.1
"UKR",2004,29,23.8,1.4,2.2
"UKR",2005,28.8,23.6,1.4,2.2
"UKR",2006,28.5,23.5,1.5,2.2
"UKR",2007,28.2,23.3,1.4,2.2
"UKR",2008,27.9,23,1.5,2.2
"UKR",2009,27.6,22.8,1.4,2.3
"UKR",2010,27.4,22.6,1.4,2.3
"UKR",2011,27.2,22.5,1.5,2.3
"UKR",2012,27.1,22.4,1.6,2.4
"UKR",2013,27,22.2,1.6,2.5
"UKR",2014,27,22.2,1.7,2.5
"UKR",2015,27,22.2,1.8,2.5
"UKR",2016,27,22.1,1.8,2.7
"UKR",2017,27,22.1,1.9,2.8
"UKR",2018,27,22.1,2,2.9
"URY",1986,39.6,49.4,1.5,2
"URY",1987,39.6,49.5,1.4,1.9
"URY",1988,39.6,49.6,1.2,1.8
"URY",1989,39.6,49.6,1.1,1.6
"URY",1990,39.7,49.7,1.1,1.5
"URY",1991,39.2,49.3,1.1,1.4
"URY",1992,38.7,49,0.9,1.3
"URY",1993,38.6,48.9,1,1.4
"URY",1994,38.5,48.9,1,1.4
"URY",1995,38.3,48.9,0.9,1.2
"URY",1996,38.4,49,0.8,1.2
"URY",1997,38.7,49.3,0.8,1.2
"URY",1998,39.1,49.8,0.8,1.2
"URY",1999,39.6,50.3,0.9,1.2
"URY",2000,40,50.7,0.8,1.1
"URY",2001,40.6,51.3,0.8,1.1
"URY",2002,41,51.9,0.8,1
"URY",2003,41.3,52.4,0.7,0.9
"URY",2004,41.8,53,0.6,0.7
"URY",2005,41.6,52.7,0.6,0.8
"URY",2006,41.7,52.8,0.5,0.6
"URY",2007,41.8,52.8,0.4,0.5
"URY",2008,41.1,52.1,0.5,0.6
"URY",2009,40.6,51.6,0.5,0.6
"URY",2010,39.3,50.1,0.4,0.5
"URY",2011,37.9,48.2,0.5,0.6
"URY",2012,36.5,46.5,0.5,0.6
"URY",2013,36.6,46.5,0.4,0.5
"URY",2014,36.2,46,0.5,0.6
"URY",2015,36.1,46,0.5,0.6
"URY",2016,35.9,46.1,0.4,0.5
"URY",2017,35.9,46,0.8,0.9
"URY",2018,35.9,46,1.1,1.3
"USA",1986,34.1,45.6,0.4,0.4
"USA",1987,34.1,45.8,0.4,0.6
"USA",1988,34.3,46,0.5,0.6
"USA",1989,34.5,46.3,0.5,0.6
"USA",1990,34.5,46.4,0.5,0.6
"USA",1991,34.7,46.7,0.3,0.5
"USA",1992,34.9,46.9,0.5,0.6
"USA",1993,35.4,47.5,0.5,0.6
"USA",1994,35.8,48.2,0.4,0.4
"USA",1995,35.4,47.5,0.4,0.5
"USA",1996,35.6,47.7,0.5,0.6
"USA",1997,35.9,48,0.4,0.4
"USA",1998,35.8,47.9,0.5,0.6
"USA",1999,35.9,48,0.5,0.6
"USA",2000,35.8,47.6,0.4,0.4
"USA",2001,36.2,48.4,0.4,0.5
"USA",2002,36.2,48.4,0.5,0.6
"USA",2003,36.3,48.6,0.4,0.5
"USA",2004,36.5,48.8,0.3,0.4
"USA",2005,36.8,49.3,0.4,0.5
"USA",2006,37,49.2,0.5,0.5
"USA",2007,37.1,48.5,0.4,0.4
"USA",2008,36.8,49.1,0.4,0.5
"USA",2009,36.9,49.6,0.4,0.5
"USA",2010,37,50.6,0.3,0.4
"USA",2011,37.5,50.5,0.4,0.5
"USA",2012,37.8,50.6,0.4,0.5
"USA",2013,37.9,50.9,0.4,0.5
"USA",2014,38.1,51,0.6,0.8
"USA",2015,38.1,51,0.6,0.8
"USA",2016,38.1,50.9,0.4,0.4
"USA",2017,38.2,51,0.7,1
"UZB",1988,31.3,39.1,2.6,2.8
"UZB",1989,31.4,39.2,2.5,2.7
"UZB",1990,31.4,39.5,2.4,2.7
"UZB",1991,31.6,39.7,2.4,2.7
"UZB",1992,31.7,40,2.3,2.6
"UZB",1993,31.9,40.3,2.3,2.6
"UZB",1994,32,40.6,2.3,2.6
"UZB",1995,32.2,40.9,2.2,2.6
"UZB",1996,32.4,41.2,2.2,2.5
"UZB",1997,32.5,41.5,2.1,2.5
"UZB",1998,32.7,41.7,2.1,2.5
"UZB",1999,32.7,41.7,2.1,2.4
"UZB",2000,32.6,41.6,2.1,2.4
"UZB",2001,32.5,41.5,2.1,2.4
"UZB",2002,32.4,41.5,2.1,2.3
"UZB",2003,32.4,41.5,2.1,2.4
"VCT",1995,49.3,50,4.8,5.8
"VCT",1996,49.2,49.9,4.8,5.9
"VCT",1997,49.1,49.8,4.9,5.9
"VCT",1998,49,49.8,4.9,5.9
"VCT",1999,48.9,49.7,4.9,6
"VCT",2000,48.8,49.6,4.8,6
"VCT",2001,48.7,49.6,4.8,6
"VCT",2002,48.6,49.5,4.9,6
"VCT",2003,48.5,49.4,4.7,5.9
"VCT",2004,48.5,49.3,4.8,5.8
"VCT",2005,48.4,49.3,4.8,5.8
"VCT",2006,48.2,49.2,4.7,5.8
"VCT",2007,48.1,49.1,4.8,5.9
"VCT",2008,48,49,4.7,5.8
"VEN",1986,40.4,42.2,1.4,1.9
"VEN",1987,40.4,42.4,1.4,2
"VEN",1988,40.3,42.4,1.4,1.9
"VEN",1989,40.2,42.5,1.3,1.9
"VEN",1990,40.4,42.6,1.3,1.9
"VEN",1991,40.5,42.8,1.3,2
"VEN",1992,40.6,43,1.2,1.9
"VEN",1993,41.1,43.3,1.2,2
"VEN",1994,41.5,43.6,1.2,1.9
"VEN",1995,41.9,43.9,1.1,1.9
"VEN",1996,42.2,44.2,1.2,1.9
"VEN",1997,42.6,44.4,1.1,1.9
"VEN",1998,42.6,44.5,1.1,1.9
"VEN",1999,42.5,44.5,1.1,1.8
"VEN",2000,42.4,44.4,1.1,1.8
"VEN",2001,42.4,44.4,1.1,1.8
"VEN",2002,42.4,44.3,1.1,1.8
"VEN",2003,42.1,44.1,1.1,1.7
"VEN",2004,41.8,43.8,1,1.8
"VEN",2005,41.4,43.5,1,1.8
"VEN",2006,40.6,42.9,1.1,1.9
"VEN",2007,39.9,42.3,1.1,1.9
"VEN",2008,39.2,41.8,1.2,2
"VEN",2009,38.6,41.3,1.2,2.1
"VEN",2010,38.2,40.9,1.3,2.1
"VEN",2011,37.9,40.6,1.4,2.1
"VEN",2012,37.6,40.4,1.4,2.3
"VEN",2013,37.5,40.3,1.4,2.4
"VEN",2014,37.3,40.2,1.5,2.5
"VEN",2015,37.2,40.2,1.8,2.6
"VNM",1992,33.5,39.2,2.2,2.4
"VNM",1993,33.5,39.2,2.2,2.3
"VNM",1994,33.6,39.3,2.2,2.3
"VNM",1995,33.7,39.3,2.2,2.1
"VNM",1996,33.7,39.4,2.1,2.1
"VNM",1997,33.8,39.4,2.1,2
"VNM",1998,33.8,39.5,2,1.9
"VNM",1999,33.9,39.7,2,1.8
"VNM",2000,34.1,39.8,2,1.8
"VNM",2001,34.2,40,2,1.7
"VNM",2002,34.4,40.1,1.9,1.6
"VNM",2003,34.5,40.2,1.8,1.6
"VNM",2004,34.6,40.3,1.9,1.6
"VNM",2005,34.7,40.4,1.9,1.6
"VNM",2006,34.8,40.4,1.8,1.6
"VNM",2007,34.9,40.5,1.8,1.6
"VNM",2008,34.9,40.5,1.8,1.5
"VNM",2009,35.1,40.5,1.9,1.5
"VNM",2010,35.2,40.5,1.7,1.5
"VNM",2011,35.1,40.4,1.6,1.6
"VNM",2012,34.9,40.3,1.6,1.6
"VNM",2013,34.9,40.3,1.6,1.7
"VNM",2014,34.8,40.2,1.7,1.8
"VNM",2015,34.7,40.3,1.8,1.9
"VNM",2016,34.7,40.3,1.9,2.1
"VNM",2017,34.6,40.3,2.1,2.2
"VNM",2018,34.6,40.3,2.1,2.4
"VUT",2006,40.4,42.8,3.1,2.9
"VUT",2007,40.2,42.6,3,2.9
"VUT",2008,40.1,42.4,3,2.9
"VUT",2009,39.9,42.2,3,2.8
"VUT",2010,39.8,42,3,2.8
"WSM",2002,42.8,45.5,3,3.1
"WSM",2003,42.8,45.5,3.1,3.1
"WSM",2004,42.9,45.5,3.1,3.1
"WSM",2005,42.9,45.5,3,3
"WSM",2006,42.8,45.5,3.1,3
"WSM",2007,42.9,45.5,3,3
"WSM",2008,42.9,45.5,3,3
"WSM",2009,42.9,45.4,3.1,3
"WSM",2010,42.8,45.3,3.1,3.2
"WSM",2011,42.7,45.3,3,3.2
"WSM",2012,42.7,45.2,3.2,3.3
"WSM",2013,42.7,45.2,3.2,3.3
"YEM",1992,36.9,39.2,2.8,3
"YEM",1993,36.8,39.1,2.8,2.9
"YEM",1994,36.8,39,2.8,2.9
"YEM",1995,36.7,39,2.7,2.8
"YEM",1996,36.6,38.9,2.7,2.7
"YEM",1997,36.6,38.9,2.6,2.6
"YEM",1998,36.5,38.9,2.5,2.6
"YEM",1999,36.6,38.9,2.5,2.6
"YEM",2000,36.7,38.9,2.5,2.7
"YEM",2001,36.7,39,2.6,2.7
"YEM",2002,36.8,39.1,2.6,2.8
"YEM",2003,36.9,39.1,2.6,2.8
"YEM",2004,36.9,39.2,2.7,2.8
"YEM",2005,37,39.2,2.6,2.8
"YEM",2006,37,39.3,2.7,2.9
"YEM",2007,37,39.4,2.8,3
"YEM",2008,37.1,39.4,2.9,3.1
"YEM",2009,37.1,39.5,3,3.2
"YEM",2010,37.1,39.5,3,3.3
"YEM",2011,37.2,39.5,3,3.4
"YEM",2012,37.1,39.6,3,3.4
"YEM",2013,37.2,39.6,3.1,3.5
"YEM",2014,37.2,39.6,3.2,3.6
"ZAF",1986,58.5,65.7,2.4,3.1
"ZAF",1987,58.6,65.8,2.2,3
"ZAF",1988,58.7,65.9,2.2,2.9
"ZAF",1989,58.7,66,2.1,2.8
"ZAF",1990,58.7,66.1,2,2.6
"ZAF",1991,58.8,66.2,1.8,2.4
"ZAF",1992,58.8,66.2,1.7,2.3
"ZAF",1993,58.7,66.3,1.4,2.2
"ZAF",1994,58.7,66.3,1.5,2.1
"ZAF",1995,58.8,66.5,1.5,2.1
"ZAF",1996,58.8,66.6,1.6,2
"ZAF",1997,58.9,66.8,1.6,2.1
"ZAF",1998,58.9,66.9,1.6,2.1
"ZAF",1999,58.9,67,1.5,2
"ZAF",2000,58.9,67.1,1.4,1.9
"ZAF",2001,59.1,67.3,1.5,1.9
"ZAF",2002,59.2,67.6,1.5,1.9
"ZAF",2003,59.3,67.8,1.5,1.8
"ZAF",2004,59.4,68,1.4,1.8
"ZAF",2005,59.5,68.2,1.4,1.7
"ZAF",2006,59.6,68.4,1.3,1.5
"ZAF",2007,59.5,68.5,1.2,1.4
"ZAF",2008,59.4,68.6,1,1.1
"ZAF",2009,59.4,68.6,1.1,1.2
"ZAF",2010,59.2,68.6,1,1.1
"ZAF",2011,59.4,68.5,1.1,1.3
"ZAF",2012,59.2,68.3,1.1,1.3
"ZAF",2013,59.5,68.5,1.4,1.5
